Gene	r2	r3	r4	r5
Gpatc4	0.81936216	1.2431024	0.8987601	1.3347585
Sh3d19	0.77447677	1.1049695	0.86158586	1.4297738
Dusp8	1.1608676	0.94178194	1.533251	0.7542903
Ppap2b	0.7987203	0.87881744	1.1804063	1.5383471
Ccdc22	1.0133334	1.4180417	0.97974557	1.0591362
Pou3f2	0.937603	1.4424793	0.9814816	0.95749044
Slc2a3	1.2125026	1.4202869	0.7186507	0.7966656
Dll4	1.4955415	0.97380495	0.92402285	0.6977321
Tmsb10	0.62796277	1.731616	0.7781275	1.3569843
0610037D15Rik	1.4085968	0.8717626	0.6844499	1.7470602
Zfp259	1.0450027	1.345358	0.7890311	0.93518656
As3mt	1.0456785	1.2602124	0.65609986	1.004637
1500026D16Rik	0.93270296	1.338391	0.72102827	1.301383
Bpgm	1.0486269	1.4269549	0.78408766	0.87676144
Gp1bb	0.96032906	0.9160357	1.382335	0.7047271
Gal	1.3307749	0.9036599	1.5806948	0.65296006
Lrrn1	1.2898653	1.2973794	0.61808383	0.723658
Crtap	0.95350426	1.1334978	0.6213991	1.0443709
Tubb3	1.109541	0.90659535	1.2300538	0.571239
Sfmbt2	0.84769344	1.2145678	0.72716707	1.3769553
Gcnt2	1.0401425	0.73395807	1.3986791	0.8146971
Slc9a3r1	0.9857691	1.0869552	0.81716913	1.6054893
Prickle1	1.0685315	0.6825277	1.4322125	0.9227536
Mrg1	0.9417887	1.5994442	0.72956175	0.9161648
Itga6	0.7403159	1.1196913	0.971672	1.5492378
Elavl4	1.2804835	0.92432773	1.3122264	0.7810157
Tox	0.79844564	1.240101	0.88741916	1.8411697
Igf2bp3	0.9995382	1.0096189	0.6401107	1.07415
Cbfa2t1h	1.592375	0.81618756	0.9101864	1.1336397
Arid3b	0.9180655	1.4376167	1.0849388	1.0393779
Pdgfc	0.66420317	1.0433636	0.8399688	1.1790266
Stard5	1.2339299	1.1815083	0.92494327	0.6553742
Msx1	0.9678795	1.4670794	0.8240088	1.0936801
Shank3	0.85115206	1.0955942	0.87790155	1.4165447
Hars	0.77965087	1.4061145	0.8285664	1.2209274
Sdpr	0.8666076	0.92180985	1.1061319	1.4638888
Cadps	1.3101137	0.96467483	0.96516246	0.55631447
Efnb1	1.326235	1.2984685	0.8427894	0.9413779
Clcf1	0.83941466	0.7387123	1.5412848	1.087761
Dcamkl1	1.1861812	0.83313113	1.3938371	0.6440704
Eif3s10	0.66057277	0.9083486	0.82167566	1.5081462
LOC545422	1.3659347	1.272415	0.72997534	0.7772063
Pdgfc	0.8399244	1.0130785	0.93864506	1.3572474
Zfp352	1.3988975	0.50392467	1.1250815	0.6491505
Neurod1	0.90038276	1.0420852	1.1063956	0.59856164
MGI:2385286	0.94068456	1.4061066	0.7270458	1.0202852
Foxo1	1.5857544	0.9539733	0.7445186	0.72264516
BC014805	1.1633599	1.4658926	0.7671091	0.75474215
Tbx20	1.0048792	0.95751613	1.359521	0.7281667
Rapgef4	1.1264474	0.8438133	1.406053	0.64932716
Gdap1	1.0598779	0.7781605	1.3858898	0.59201545
Vnn1	0.8487578	1.152792	1.3621185	1.0215029
Fusip1	0.98911744	1.0480782	0.74313045	1.3983511
Suclg1	0.8653342	0.99185824	0.8588452	1.3366379
Nkx6-2	1.1110083	0.7164071	1.0688416	0.6440415
BC002059	0.96802855	1.1731106	0.8685666	1.4262992
4930444A02Rik	0.9584796	1.0261208	0.62766457	1.1869291
Sip1	0.9174131	1.0423259	0.65203094	1.3258996
Smyd2	0.86966693	1.0073489	0.96382487	1.3503361
Ccnd2	0.8417651	1.1909971	0.7176748	1.5305423
Etfa	0.94987994	0.8786579	1.084202	1.656079
Gamt	0.7606587	1.2650572	0.73996276	1.4829335
Mef2c	0.48245433	0.9438733	1.263745	1.0633675
Ppp1r14a	1.0575913	1.0296228	1.7161177	0.6372187
Map3k12	1.2254657	0.9665181	1.1186347	0.63634706
C78704	0.8111336	1.1301544	1.3777087	0.8572738
Rgs4	1.0741079	0.81652427	1.2605804	0.2899178
Pdpn	1.1374415	0.9727524	1.0727571	0.48415288
Rhpn1	0.8227084	1.2136548	0.7986629	1.8044059
1810015C04Rik	1.0252225	0.8176324	1.8362392	0.9289246
BC028528	1.0213327	0.9835528	1.3359886	0.75285655
Sncaip	1.3480257	0.91466975	1.0075002	0.7395969
Col1a2	0.80263877	1.0029131	1.0088521	1.4669816
Mapk10	1.5032923	1.0894848	1.0131112	0.7910758
Il1f5	1.0350145	0.89649075	1.4055732	1.0612894
Trim44	0.99923503	1.0170193	0.87351644	1.5915153
